zone_name,ds,anomaly_occurence
CAPITL,2011-07-21,4
CAPITL,2011-07-22,5
CAPITL,2012-06-20,5
CAPITL,2012-06-21,6
CAPITL,2013-07-18,5
CAPITL,2013-09-11,4
CAPITL,2016-08-12,4
CAPITL,2020-07-27,4
CAPITL,2021-06-08,4
CAPITL,2021-06-21,4
CAPITL,2021-06-29,4
CENTRL,2011-07-21,4
CENTRL,2011-07-22,4
CENTRL,2012-06-20,5
CENTRL,2012-06-21,6
CENTRL,2012-06-29,4
CENTRL,2013-05-31,4
CENTRL,2013-09-11,5
CENTRL,2016-08-12,5
DUNWOD,2011-07-22,7
DUNWOD,2012-06-21,6
DUNWOD,2012-06-29,5
DUNWOD,2013-05-31,5
DUNWOD,2013-07-18,5
DUNWOD,2013-09-11,6
DUNWOD,2014-09-02,4
DUNWOD,2016-08-12,5
DUNWOD,2017-05-19,5
DUNWOD,2017-06-12,4
DUNWOD,2017-06-13,6
DUNWOD,2019-07-02,4
DUNWOD,2020-07-27,4
DUNWOD,2021-06-09,5
DUNWOD,2021-06-29,4
DUNWOD,2021-06-30,4
GENESE,2011-07-21,4
GENESE,2011-07-22,4
GENESE,2012-06-20,5
GENESE,2012-06-21,6
GENESE,2012-06-29,4
GENESE,2013-05-31,5
GENESE,2013-07-18,5
GENESE,2013-09-11,6
GENESE,2014-09-05,4
GENESE,2016-08-12,6
GENESE,2019-06-28,4
GENESE,2019-07-02,4
GENESE,2021-06-29,4
HUD VL,2011-06-09,4
HUD VL,2011-07-21,4
HUD VL,2011-07-22,7
HUD VL,2012-06-21,6
HUD VL,2012-06-29,5
HUD VL,2013-05-31,4
HUD VL,2013-07-18,5
HUD VL,2013-09-11,5
HUD VL,2014-09-02,4
HUD VL,2015-09-08,4
HUD VL,2016-08-12,5
HUD VL,2020-07-27,4
HUD VL,2021-06-29,4
HUD VL,2021-06-30,4
HUD VL,2021-07-07,4
LONGIL,2011-07-22,7
LONGIL,2012-06-21,7
LONGIL,2012-06-29,5
LONGIL,2012-07-01,5
LONGIL,2012-10-30,4
LONGIL,2013-07-18,5
LONGIL,2013-09-11,4
LONGIL,2014-09-02,4
LONGIL,2016-08-12,5
LONGIL,2016-08-13,5
LONGIL,2017-06-13,5
LONGIL,2020-07-27,4
LONGIL,2021-06-09,4
MHK VL,2011-07-21,4
MHK VL,2011-07-22,4
MHK VL,2012-06-21,5
MHK VL,2012-06-29,4
MHK VL,2013-07-18,4
MILLWD,2011-06-08,4
MILLWD,2011-06-09,4
MILLWD,2011-07-22,6
MILLWD,2012-06-21,5
MILLWD,2012-06-29,5
MILLWD,2013-07-18,5
MILLWD,2013-09-11,4
MILLWD,2014-04-15,8
MILLWD,2014-09-02,4
N.Y.C.,2011-07-22,4
N.Y.C.,2012-06-21,6
N.Y.C.,2012-06-29,5
N.Y.C.,2013-05-31,5
N.Y.C.,2013-07-18,5
N.Y.C.,2013-09-11,5
N.Y.C.,2014-09-02,4
N.Y.C.,2016-08-12,6
N.Y.C.,2017-05-19,6
N.Y.C.,2018-08-29,4
N.Y.C.,2019-06-28,4
N.Y.C.,2019-07-02,4
N.Y.C.,2021-06-09,4
N.Y.C.,2021-06-30,4
NORTH,2012-06-21,6
NORTH,2012-10-31,4
NORTH,2014-01-03,5
NORTH,2014-02-26,4
NORTH,2019-07-02,4
WEST,2011-07-22,4
WEST,2012-06-20,4
WEST,2012-06-21,5
WEST,2013-05-31,5
WEST,2013-09-11,6
WEST,2016-08-12,4
WEST,2019-06-28,4
WEST,2019-07-02,4
WEST,2021-06-29,4
